Filename,Title,Keywords,Category
Capybara_wearing_sunglasses_and_sweater.jpg,Capybara wearing sunglasses and sweater,"capybara, animal, front, sunglasses, sweater, furry, portrait, no people, nobody, indoors, yellow, background",1
Frog_with_umbrella_in_colorful_attire.jpg,Frog with umbrella in colorful attire,"frog, umbrella, toy, colorful, green, outfit, sitting, indoor, background, playful, no people, nobody",1
Deer_wearing_hat_and_scarf_against_orange_background.jpg,Deer wearing hat and scarf against orange background,"deer, animal, mammal, young, white-tailed, hat, scarf, orange, background, standing, fashion, wildlife, indoors, no people, nobody",1
Dolphin_wearing_goggles_and_cap.jpg,Dolphin wearing goggles and cap,"dolphin, animal, marine, swimming, pink, goggles, cap, water, humorous, novelty, portrait, no people, nobody",1
Flamingo_wearing_sunglasses_with_cocktail_on_orange_background.jpg,Flamingo wearing sunglasses with cocktail on orange background,"flamingo, bird, Phoenicopterus, pink, sunglasses, cocktail, drink, orange, background, hula, leis, standing, one, animal, no people, nobody",1
Frog_in_raincoat_with_rubber_duck_on_yellow_background_1.jpg,Frog in raincoat with rubber duck on yellow background,"frog, raincoat, rubber duck, yellow, background, animal, wet, smile, toy, playful, no people, nobody",1
Giraffe_wearing_sunglasses_and_a_scarf.jpg,Giraffe wearing sunglasses and a scarf,"giraffe, sunglasses, scarf, animal, zoo, head, wildlife, brown, pattern, no people, nobody, outdoors, day",1
Leopard_wearing_red_coat_and_earmuffs.jpg,Leopard wearing red coat and earmuffs,"leopard, Panthera pardus, animal, coat, earmuffs, fur, sitting, indoor, blue, background, no people, nobody",1
Penguin_wearing_summer_dress_and_straw_hat.jpg,Penguin wearing summer dress and straw hat,"penguin, dress, hat, summer, fashion, animal, cute, outfit, stand, indoors, no people, nobody",1
Penguin_wearing_earmuffs_and_scarf_in_snowy_environment.jpg,Penguin wearing earmuffs and scarf in snowy environment,"penguin, ice, snow, earmuffs, scarf, cold, wildlife, outdoors, animal, cute, chilly, no people, nobody",1
Penguin_wearing_earmuffs_and_scarf_next_to_hot_chocolate.jpg,Penguin wearing earmuffs and scarf next to hot chocolate,"penguin, earmuffs, scarf, hot chocolate, beverage, marshmallows, indoor, blue, cup, pet, no people, nobody",1
Rabbit_with_sunglasses_and_travel_suitcase.jpg,Rabbit with sunglasses and travel suitcase,"rabbit, animal, bunny, sunglasses, travel, suitcase, tropical, shirt, fur, lifestyle, composition, indoor, no people, nobody",1
Rabbit_wearing_sunglasses_and_tropical_shirt_with_suitcase.jpg,Rabbit wearing sunglasses and tropical shirt with suitcase,"rabbit, animal, wear, sunglasses, tropical, shirt, suitcase, havanese, travel, indoors, no people, nobody",1
Tiger_cub_in_sunglasses_next_to_coconut_on_colorful_background.jpg,Tiger cub in sunglasses next to coconut on colorful background,"tiger, cub, sunglasses, coconut, animal, beach, tropical, fur, young, photo, indoor, colorful, vibrant, no people, nobody",1
Toucan_wearing_red_scarf_perched_on_branch.jpg,Toucan wearing red scarf perched on branch,"toucan, bird, Scarlet Macaw, perched, branch, scarf, red, colorful, animal, wildlife, indoors, no people, nobody",1
